gene_id,max_tpm,Body_vs_Head_FC,Body_vs_Head_padj,Major_vs_Body_FC,Major_vs_Body_padj,Ampullate_vs_Rest_FC,Ampullate_vs_Rest_padj,Tail_vs_Rest_FC,Tail_vs_Rest_padj,Duct_vs_Rest_FC,Duct_vs_Rest_padj,Sac_vs_Rest_FC,Sac_vs_Rest_padj,Body_vs_Head_PC1,Major_vs_Body_PC1,Ampullate_vs_Rest_PC1,Major_part_PC1,Major_part_PC2,MAG_part_Distance_PCA,MajorParts_PCA,Body_vs_Head_PLS1,Major_vs_Body_PLS1,Ampullate_vs_Rest_PLS1,MAG_part_p1,MAG_part_p2,MAG_part_Distance_PLS,MajorParts_PLS
maker-000015F-exonerate_protein2genome-gene-30.9,28.559185875307186,0.2353991042261815,0.33759264196655897,-0.966798692099202,4.931571006623572e-5,0.21113469958128805,0.41866942117173306,-1.1599054182481803,1.3039465473926974e-5,0.030933841383647416,0.9635699520381982,0.9037454927510251,0.009603524503020579,7.470560962137958e-4,0.005493024257771384,-8.816150429161217e-4,0.011656167512715565,-0.004439839540623416,0.012473107721452938,Undefined,0.0044904422046784685,-0.012638076902858987,0.008658155933212707,0.028850640625262245,-0.007920886479100041,0.02991822031977875,Sac
maker-000015F-exonerate_protein2genome-gene-31.0,81.08650136910637,0.6530957088677917,0.010005264913013593,-0.4023652595550833,0.05309126145675756,0.012971933791832264,0.9747734611502239,0.47975110841888036,0.17952266469169134,0.2979366667992601,0.5504372010273735,-0.8744489346146359,0.003959988685429877,0.002866713569397852,0.0018792412688622038,-0.001977746742555433,-0.007990576859735464,-0.002232647206094959,0.008296627754589421,Undefined,0.00912371440619939,-0.00800780277514603,7.165795447349182e-4,-0.01992170873710488,0.020700652678913616,0.02872962757048992,Tail
maker-000015F-exonerate_protein2genome-gene-31.1,23.859747896819663,-0.401670912146029,0.08929315797379363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0016664490343781012,NA,NA,NA,NA,NA,NA,-0.007476162454314716,NA,NA,NA,NA,NA,NA
maker-000015F-exonerate_protein2genome-gene-32.0,378.5498819551819,-5.099422392029294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.002570773694336797,NA,NA,NA,NA,NA,NA,-0.003253651892541574,NA,NA,NA,NA,NA,NA
maker-000015F-exonerate_protein2genome-gene-36.0,236.23685519547269,-0.9168129918856329,0.22972230692817647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0016526202564840335,NA,NA,NA,NA,NA,NA,-0.001978564495879448,NA,NA,NA,NA,NA,NA
maker-000015F-exonerate_protein2genome-gene-45.0,30.470690927042867,0.1308873026145288,0.811966456698804,4.568144554355376,5.129648109394615e-10,2.72585753585037,1.8544936209999817e-4,NA,NA,NA,NA,NA,NA,4.0730414479792207e-4,-0.015585626908269827,-0.012839306808530336,NA,NA,NA,NA,3.929581283354397e-4,0.01485066993025457,0.022091067437590702,NA,NA,NA,NA
maker-000015F-exonerate_protein2genome-gene-46.0,71.64590616662754,0.8200817562437934,0.0059672264763542945,0.3481405740503892,0.2678303792466908,0.40556326826730216,0.23874813861908006,NA,NA,NA,NA,NA,NA,0.0033513802693486603,-0.00164159633561134,-0.0059620518478279705,NA,NA,NA,NA,0.009083705938055454,0.00656920444421967,0.013895155100200798,NA,NA,NA,NA
maker-000015F-exonerate_protein2genome-gene-48.8,53.53662370236337,-0.35262769943212313,0.204365629988947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0013023120696575548,NA,NA,NA,NA,NA,NA,-0.005734673449241827,NA,NA,NA,NA,NA,NA
maker-000015F-exonerate_protein2genome-gene-5.6,118.10410414235425,-7.116571560967773,2.0663547743530972e-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02332931209470984,NA,NA,NA,NA,NA,NA,-0.011344031621548397,NA,NA,NA,NA,NA,NA
maker-000015F-exonerate_protein2genome-gene-54.4,186.27880730611946,0.24897391116771392,0.31904689294955196,1.016889789477691,1.6263870336283058e-6,0.13001993530324393,0.6690610231464602,NA,NA,NA,NA,NA,NA,0.0012724776871397864,-0.005242564458888873,-0.0017300337502559001,NA,NA,NA,NA,0.005183655324635958,0.014031932042985583,0.003013475281776723,NA,NA,NA,NA
