geneName,max_tpm,Body_vs_Head_PC1,Body_vs_Head_FC,Major_vs_Body_PC1,Major_vs_Body_FC,Major_part_PCA_PC1,Major_part_PCA_PC2,Major_part_PCA_dist,Major_part_PCA_class,Major_part_PLS_PC1,Major_part_PLS_PC2,Major_part_PLS_dist,Major_part_PLS_class,Tail_vs_Rest_FC,Sac_vs_Rest_FC,Duct_vs_Rest_FC,duct_1,duct_2,duct_3,duct_4,duct_5,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,tail_1,tail_2,tail_3,tail_4,tail_5,tail_6
dld_dl,125.6454507051346,0.0016023955890677318,0.4703922344589561,0.0036622624013685533,1.0751687064708069,0.02071746032917075,-0.04327550876118972,0.04797898311792958,Duct,0.022255659377918333,0.02092066438283365,0.030544861639318136,Duct,-3.3853408475097364,-0.651008687379086,2.4355243401497537,9.997642546275635,8.500113170020436,10.03839882452043,10.287535117491684,7.770160982095963,7.895256171717682,9.35918990155813,7.798191877902384,5.96488824780022,7.07387306510603,7.617901099102745,4.330913425472142,4.91422528694524,7.7719307306793874,4.764935233132262,4.1670118691219065,5.112211442348392
gale_2,8387.994310175709,0.00366689094365115,0.7273850121627766,0.011911151051829431,3.048285926264199,0.03620315058032899,-0.05956073168141862,0.06970042231125949,Duct,0.027972660282188613,0.0193056722309525,0.03398791996506557,Duct,-5.554458197913778,-1.6607540566784178,3.670385990825364,14.601620968515567,14.5776580185865,16.36911801080021,12.590873730787651,12.97907732654574,12.071567815905217,12.389166505811321,11.946365653742689,11.833420675070341,11.965357744707516,12.20630193635184,9.385954418810854,8.77805438982212,8.833644660825081,6.493623895633758,7.501010282807332,8.070499774314492
LASC008293,809.4196468950956,0.004525506277825984,2.305801317179261,0.02240647390443138,5.585028083262988,0.02385998776083883,-0.03827853860892341,0.04510593679308988,Duct,0.026202456315123343,0.014594042009913887,0.029992578734298232,Duct,-3.9085934617747835,-0.6609577481248498,2.5438978448970793,10.351306013609939,10.2815430268491,12.859938459291975,8.261168044943604,8.212315486359394,9.549374793603063,8.83607219109178,9.089250513142117,10.397434136019376,8.197010350441909,8.965789997698257,5.898637911391227,7.8687334771314665,6.965103568807387,6.317807275455221,5.572988597182425,5.811549792552056
LASC008645,156.4611808306938,0.0028989704055419323,0.8162011016714664,0.0037081719882468226,1.3365113087423737,0.014505618226350379,-0.059797037832653784,0.061531282236667685,Duct,0.020419909548389542,0.03374097687927108,0.03943889231116812,Duct,-5.245519031844604,-2.9984071646789983,4.82073483652423,9.809240043318743,9.797440955176745,11.074310544837669,9.044995961649036,7.605430752077572,5.845216664523009,6.5162907843719395,6.181106681253419,6.105835698910319,5.574636478344899,5.955712379032243,4.330913425472142,4.141008282201213,4.499442560786729,4.4839754175330615,4.354643391824584,5.29880507783157
cnot9,218.5152721004165,7.627459550572235e-4,0.17531907538890318,9.857281125161934e-4,0.27846669678095226,0.005480470015069119,-0.017852946162488448,0.01867520383467829,Duct,0.021006636698462547,0.03154309034328828,0.037897827560244665,Duct,-1.1030319496621297,-0.45073025955521573,1.3314675859157772,9.752401449258878,10.204054161462098,10.086096129749842,9.259901174756815,9.190532692454449,8.87714342221688,8.489217965323462,8.854691857335112,8.646029947679633,8.504977543552874,8.643473049934734,8.522145279487832,7.830197835461706,8.420663452766965,8.250722109651557,7.807477361392678,8.230424512833153
LASC008986,13.633050970972446,2.3455746815755226e-4,0.16068245550637228,0.0021873677411436993,1.955848875367592,0.007141963491418096,-0.01375496990334631,0.01549860766503597,Duct,0.020471040007717555,0.016476713726322825,0.026278233848886567,Duct,-1.7564143299781951,-0.2573510371576564,1.5060827385848756,4.7521908110434765,4.9672767510518865,5.223019710330205,4.446476915663743,3.758132193533153,4.323066102505769,3.956254024242544,3.8055925760746034,3.8534704980499552,4.511249898280108,4.503336973883743,3.4321444392341265,2.852483731948055,2.852483731948055,4.922163708195452,2.852483731948055,2.852483731948055
LASC009083,15.774736727495283,1.5675638257987525e-4,0.05980042695084156,8.141872858426751e-4,0.15393500457311418,0.003587652673179424,-0.013116793722864237,0.013598585561430355,Duct,0.016794458613619067,0.01491508674313574,0.022461381361791335,Duct,-1.044623612887015,-0.1636410488648802,1.0403013393307776,5.778474317884285,5.956538143808027,7.290995745472668,5.569076372487352,5.191563004113596,5.649687091131933,6.111946518247217,5.469862299632366,4.754161293091405,5.870556091324814,5.1771196933653965,5.333822859246297,5.52790805919408,4.959216786217513,4.845979027929072,5.63785154717995,3.5973328772262634
lysoz,389.5792428229018,0.003861667694297824,0.6607207798567061,0.006489230476985853,1.5319263884977012,0.03396513720422497,-0.03295473721814082,0.04732489038992634,Duct,0.025472614342979174,0.008910506319475523,0.026986129851009788,Duct,-4.160574140149637,0.8050676226867278,1.162035266816094,10.902225012035764,11.294597971965649,10.466636348959742,8.70064067202514,9.556716542715302,10.56597810128665,9.59064648717503,8.85723673472881,10.981462226944174,6.163595002193339,11.141064426209445,6.576481671918912,6.504665222091111,6.699001865780517,4.373329524286915,4.8983460621605115,7.349271419463538
LASC009203,582.7274291327384,0.004552292692213572,0.8584806025567674,0.006838972483988281,1.6896086664891246,0.03163870834153183,-0.031139414296197813,0.04439224018035995,Duct,0.02471448297122248,0.008881384101621606,0.026261847842362178,Duct,-4.236257681662612,0.8433731274990452,1.132289177999655,10.060123848499533,10.36209277100253,9.512065733439304,7.5298516339139026,8.684148616223728,9.832602490522913,8.373275380308536,7.839995107230923,9.944109940540669,5.096534921805876,10.412443771399008,6.186158430065689,5.653522146407093,5.263547557536849,4.112153821855125,4.354643391824584,6.50197901536068
mj0678,702.6824551564321,0.01624712416744581,4.991416023894693,0.0084209424608213,2.085998256724022,0.03541211363722898,-0.08625869158204924,0.09324472996209014,Duct,0.023866511560104928,0.02765802354801327,0.03653185788638567,Duct,-7.7130186557935065,-3.4791481658519965,5.534590393469741,13.312281708899935,12.751623808369576,14.389239337430574,12.259324662478837,10.771270746302351,8.880276888268865,8.756864053496392,8.953138566219431,7.226847206353565,8.789786227107959,8.257824859362835,3.4321444392341265,3.9156566705855216,6.558240813152884,4.250641587063585,4.783286269007499,4.751847569261197
