p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.1075348403454405e-9,0.9136811534817002,0.821,0.768,1.401862471904489e-4,ZoneC,mknk1
1.2565315089512306e-8,0.8211759506721223,0.657,0.509,2.8841167724957595e-4,ZoneC,ctsb-2
1.2754919963757636e-8,0.4044127993469064,0.429,0.256,2.9276367792812903e-4,ZoneC,rpn1
2.2041618636336334e-8,0.2764940529808301,0.354,0.185,5.059212725598279e-4,ZoneC,idh1
3.082122955550599e-8,3.798985095722629,0.31,0.186,7.07439681987529e-4,ZoneC,LASC009428
3.63941142150335e-8,0.4527790097331401,0.489,0.326,8.353541035776639e-4,ZoneC,hacd1
4.111062532963509e-8,0.46130654845482655,0.384,0.216,9.436121831911141e-4,ZoneC,LASC004832
6.044657793168637e-8,0.4320998989114665,0.317,0.17,0.0013874303032659972,ZoneC,pdia6
6.494145379360861e-8,0.29568909864309517,0.28,0.134,0.0014906011889246984,ZoneC,rab7-rab7a
7.286109545099365e-8,0.5309369049512591,0.739,0.636,0.0016723807238866572,ZoneC,b3galt5
7.335015325107084e-8,0.366591066349778,0.563,0.407,0.001683606067571829,ZoneC,pdap1
7.70028280245213e-8,0.3412972089324436,0.332,0.18,0.0017674459116468375,ZoneC,unc13b
8.790608477932532e-8,0.359667467671006,0.269,0.131,0.002017708363939854,ZoneC,aldh3a2-2
9.129707217738666e-8,0.2961699784991316,0.228,0.098,0.002095541697687556,ZoneC,fmo5-5
1.2079695753056764e-7,0.4029802913053152,0.422,0.276,0.0027726525661991193,ZoneC,xirp2
1.3010136174950139e-7,0.7322564042849051,0.784,0.735,0.002986216556236305,ZoneC,cotl1
1.4782444851164533e-7,0.2662953136482858,0.243,0.11,0.003393014566687795,ZoneC,slc2a12
2.0958346729746233e-7,0.2573963834355002,0.299,0.151,0.004810569324878653,ZoneC,npc1-2
2.1295251353641251e-7,0.4966239073757366,0.616,0.468,0.004887899043201276,ZoneC,litaf-3
2.2075926104378725e-7,0.25470483825456236,0.194,0.077,0.005067087318738049,ZoneC,pgant5
2.759287302145514e-7,1.058419675385676,0.955,0.978,0.006333392144614598,ZoneC,LASC005801
2.7608346265249233e-7,0.48297408379034024,0.687,0.558,0.006336943718262656,ZoneC,psap
2.8315149638610993e-7,0.8474410859365658,0.828,0.782,0.006499176296550381,ZoneC,tth-1
2.9968644059326035e-7,0.38774382425313025,0.455,0.297,0.006878702870937105,ZoneC,zan-srfbp1
3.063865927936149e-7,0.38119919122008106,0.541,0.38,0.007032491464391844,ZoneC,tpo-pxt
4.039782295983955e-7,0.26345215241170294,0.287,0.148,0.009272512303971973,ZoneC,LASC010198
4.4826916281496757e-7,0.2630083998484322,0.373,0.213,0.01028912209409195,ZoneC,LASC010283
4.772167826789078e-7,0.2979870471158972,0.336,0.191,0.01095355681282897,ZoneC,dynlrb2
4.852943194929153e-7,0.2750617097565564,0.265,0.132,0.011138960515320886,ZoneC,LASC006253
6.546216280242068e-7,0.2553228939069359,0.317,0.17,0.015025530228039617,ZoneC,ergic1
6.894269418548662e-7,0.3476991382653647,0.373,0.224,0.015824416596394743,ZoneC,slc9a3-2
7.640477994922941e-7,0.2580171555399514,0.246,0.118,0.017537189141746626,ZoneC,cyb561
7.734578643311238e-7,0.31921182149651883,0.422,0.265,0.017753178359992284,ZoneC,arf4
1.05317563643495e-6,0.31078122135245023,0.265,0.134,0.024173540383091406,ZoneC,LASC011312
1.0643876376245477e-6,0.42965826925788386,0.478,0.333,0.024430889446396244,ZoneC,LASC009345
1.171013841532656e-6,0.5377655575209386,0.679,0.555,0.026878280704699054,ZoneC,cher-2
1.228067481577761e-6,0.3372841209976084,0.272,0.148,0.028187832904654347,ZoneC,dpys
1.2619191407085254e-6,0.30365038434577796,0.44,0.289,0.028964830036682782,ZoneC,LASC010631
1.2776405483273507e-6,0.2897954239494275,0.306,0.169,0.02932568350575768,ZoneC,lrp2bp
1.4480427639613336e-6,0.27977585095712454,0.243,0.121,0.03323692556120449,ZoneC,fasn-9
1.4503430895389635e-6,0.3529159590445356,0.425,0.282,0.03328972493418783,ZoneC,ppif
1.5092453195750293e-6,0.8275384837388446,0.862,0.825,0.03464170782020565,ZoneC,tsr
2.1628478503350714e-6,0.3241144869054936,0.34,0.207,0.04964384670874089,ZoneC,pdcd6
2.1764768584757737e-6,0.513702621208753,0.642,0.525,0.04995667333259443,ZoneC,atp5md
2.253180806810783e-6,0.4353147328578645,0.369,0.251,0.0517172590587279,ZoneC,sqh
2.4810953395894663e-6,0.30365038434577785,0.362,0.229,0.05694858132959702,ZoneC,lypla2
3.2362176537513597e-6,0.33766940476031704,0.612,0.461,0.07428090380655496,ZoneC,wbp2
4.262602742581204e-6,0.34658649949637055,0.332,0.2,0.09783952075046637,ZoneC,chmp2a
4.771121317164495e-6,0.6019994000039646,0.731,0.666,0.10951154759287665,ZoneC,gabarap
5.232216331119859e-6,0.30971280746037366,0.272,0.153,0.12009506144819412,ZoneC,LASC019774
5.5754315299322355e-6,0.2530836455929063,0.332,0.197,0.1279728799065346,ZoneC,selenot1b
5.749438726448142e-6,0.32491749735146946,0.302,0.175,0.1319668670881642,ZoneC,iscw020627
6.221715247878916e-6,0.32679723056969234,0.373,0.241,0.14280703008456477,ZoneC,rpn2
6.654299185849698e-6,0.5461278952122749,0.534,0.402,0.1527361292128081,ZoneC,LASC007830
6.9412100233442505e-6,0.2697655187629236,0.31,0.183,0.15932159366582058,ZoneC,apmap-3
7.045931225297748e-6,0.4483523242372289,0.91,0.858,0.16172525941425922,ZoneC,LASC005175
7.130796204577074e-6,0.2649104370928067,0.291,0.166,0.16367316528365758,ZoneC,cct1
7.4782759781795565e-6,0.5036488457095993,0.776,0.715,0.17164886852715536,ZoneC,eif1
7.675952544178498e-6,0.284774456328192,0.459,0.322,0.17618613874652908,ZoneC,edf1
8.208361334776571e-6,0.42282208532345567,0.735,0.614,0.18840651771712663,ZoneC,abcf2
1.0848968286624551e-5,0.3472487955450273,0.369,0.237,0.24901636908289332,ZoneC,boka
1.1205055392451382e-5,0.27286520691971894,0.257,0.144,0.2571896364229366,ZoneC,agmo
1.2448562123926998e-5,0.2748004118254328,0.265,0.15,0.2857318464304964,ZoneC,slc7a6-2
1.2941967010360382e-5,0.2943253826099251,0.317,0.199,0.29705696878880183,ZoneC,LASC017000
1.3733756079511811e-5,0.3272249687042267,0.459,0.322,0.3152309032930346,ZoneC,txn
1.5246031931701045e-5,0.3948380862642499,0.47,0.356,0.3499421709283341,ZoneC,abca3-abca17
1.6302822657216085e-5,0.35067829407478,0.519,0.383,0.3741986884510808,ZoneC,sorbs1-2
1.6418488115408997e-5,0.40691250509815025,0.384,0.256,0.37685355771298273,ZoneC,MT-000010F-cox3
1.7921130563940126e-5,0.2533333388106511,0.299,0.177,0.4113437098341177,ZoneC,plxna4-2
2.2399038799263993e-5,0.4234529095752597,0.765,0.703,0.5141251375595064,ZoneC,pdi
2.3999173953691778e-5,0.26697226909286603,0.328,0.207,0.5508530397590874,ZoneC,selenof
2.4547941890308346e-5,0.2957210481296683,0.336,0.218,0.5634489102082475,ZoneC,LASC014058
2.660310193403517e-5,0.2617022023478074,0.41,0.274,0.6106209986919092,ZoneC,aldh4a1
2.8966292256453982e-5,0.2838507441484077,0.25,0.142,0.6648633061623883,ZoneC,gnpnat
3.366327914382062e-5,0.34068965671127643,0.388,0.265,0.7726732461881147,ZoneC,srsf7-2
3.66121062528163e-5,0.7658245838310722,0.899,0.907,0.8403576748208925,ZoneC,LASC015047
3.911425090790056e-5,0.47700476203580155,0.761,0.694,0.8977894010890416,ZoneC,ahcy-a
4.30418553165709e-5,0.31642742806274055,0.321,0.2,0.987939705081252,ZoneC,mrps36
4.369143905283853e-5,0.9801100492183354,0.623,0.522,1,ZoneC,hcg
4.481782231214768e-5,0.48252280793849733,0.675,0.598,1,ZoneC,cox6a1
4.5206043301360104e-5,0.3188711212845474,0.34,0.219,1,ZoneC,mt-atp6
4.604912904050929e-5,0.42341266800519217,0.604,0.513,1,ZoneC,dsp1
4.612470089119342e-5,0.5353806702615622,0.601,0.478,1,ZoneC,LASC012800
4.631566703752031e-5,0.2733436087832035,0.41,0.282,1,ZoneC,bcap31
4.7580707582907646e-5,0.30335592673869627,0.537,0.409,1,ZoneC,cfad
4.8451253561854145e-5,0.4224273131111448,0.515,0.412,1,ZoneC,bsg-hmcn1
4.9473382735701997e-5,0.4873623375181665,0.455,0.347,1,ZoneC,hspa5-2
5.392028352490648e-5,0.3165749504352694,0.396,0.276,1,ZoneC,LASC011232
6.282032732976224e-5,0.3776622332794576,0.511,0.391,1,ZoneC,mlf1
6.329511935195529e-5,0.2517225923019171,0.25,0.142,1,ZoneC,sarnp
7.18636504635203e-5,0.5719231671015441,0.41,0.301,1,ZoneC,LASC002067
7.277827792334799e-5,0.2706782480081522,0.332,0.226,1,ZoneC,pcd-pcbd2
8.182667524305251e-5,0.4297430431781182,0.481,0.371,1,ZoneC,anxa11
8.244459748342267e-5,0.6216442952163896,0.69,0.631,1,ZoneC,cp1
8.407373749650406e-5,0.30247841430497696,0.321,0.21,1,ZoneC,slc5a9-slc5a11
9.377581752908263e-5,0.2856293867478113,0.328,0.215,1,ZoneC,spcs2
1.0090219473223909e-4,0.29739139387409586,0.463,0.336,1,ZoneC,slv
1.1973873028262255e-4,0.4932662695825054,0.582,0.524,1,ZoneC,smim14
1.2207318186436883e-4,0.41634761849031954,0.418,0.306,1,ZoneC,LASC016132
1.2386531615156797e-4,0.25086296998634267,0.351,0.232,1,ZoneC,rpt2-2
1.285302746272225e-4,0.25187854087941164,0.321,0.202,1,ZoneC,LASC019157
1.292443312003538e-4,0.4194147052573859,0.224,0.126,1,ZoneC,LASC008057
1.3670976244301218e-4,0.33244764865321297,0.44,0.336,1,ZoneC,pdcd6ip
1.5039013552856792e-4,0.6674535222482298,0.522,0.405,1,ZoneC,cdk9-3
1.5592206370900301e-4,0.3256991330225468,0.437,0.328,1,ZoneC,cct5
1.5797780206861783e-4,0.44811053712819476,0.28,0.18,1,ZoneC,khdc3
1.7387411348373583e-4,0.30804031021194345,0.276,0.174,1,ZoneC,LASC000880
1.771810620757713e-4,0.6541394105003405,0.451,0.342,1,ZoneC,grn-2
2.118585018618171e-4,1.2256596210103128,0.862,0.861,1,ZoneC,LASC008575
2.1794187366541948e-4,0.3149288394997585,0.653,0.56,1,ZoneC,tspan7
2.2757368225716058e-4,0.3928095162570161,0.437,0.317,1,ZoneC,LASC016880
2.3898574819464734e-4,0.28777376554205436,0.414,0.303,1,ZoneC,serpinb6
2.6871502895070196e-4,0.6041376324417138,0.672,0.595,1,ZoneC,phb
2.898182046537447e-4,0.2736627923130963,0.563,0.459,1,ZoneC,LASC015167
2.9818656412701917e-4,0.2693360198204433,0.396,0.285,1,ZoneC,skp1
3.2062023554263464e-4,0.26596590865544256,0.478,0.38,1,ZoneC,tfe3-2
3.208016847799709e-4,0.3101709119822833,0.455,0.342,1,ZoneC,LASC013530
3.2491033972919094e-4,0.3720321720351648,0.485,0.393,1,ZoneC,stom
3.334674116086929e-4,0.26068255777862026,0.459,0.342,1,ZoneC,LASC001028
3.4165510167600297e-4,0.2597137454231203,0.213,0.123,1,ZoneC,LASC001050
3.6990574084566017e-4,0.2513405757524918,0.302,0.203,1,ZoneC,slc25a16
3.7841493472058515e-4,0.4183820443222317,0.586,0.505,1,ZoneC,LASC021418
3.804814352187349e-4,0.3243509198965284,0.608,0.538,1,ZoneC,spase12
3.826271857275495e-4,0.2924778730081787,0.373,0.271,1,ZoneC,efhd2
3.97690470956578e-4,0.3443074799488447,0.519,0.427,1,ZoneC,cox5a
4.0377489961270147e-4,0.9545270017982754,0.582,0.497,1,ZoneC,hcd
4.1584052135636314e-4,0.25009059289881824,0.213,0.126,1,ZoneC,gal3st1
4.163813417956165e-4,0.3132163610357782,0.429,0.336,1,ZoneC,psma6
4.461541082426348e-4,0.5040614004599284,0.832,0.792,1,ZoneC,lrrc47
4.4993126558227084e-4,0.3327145228175526,0.299,0.197,1,ZoneC,hyou1
4.720648059074504e-4,0.26231546273574036,0.179,0.099,1,ZoneC,LASC004874
4.90400630011981e-4,0.31904324978691556,0.507,0.383,1,ZoneC,LASC019982
5.028353889311531e-4,1.0550887480361162,0.701,0.651,1,ZoneC,hce-hcf
5.097054258774443e-4,0.44266389192258804,0.597,0.505,1,ZoneC,LASC010578
5.254272930619009e-4,0.28840882914654653,0.72,0.651,1,ZoneC,csde1
5.416903838509702e-4,0.3756087118925169,0.698,0.607,1,ZoneC,fhl2-esn
5.423885589361464e-4,0.8114203683591992,0.481,0.379,1,ZoneC,LASC010862
5.485978890451065e-4,0.34341696771025054,0.586,0.497,1,ZoneC,LASC003334
5.540825276054712e-4,0.2519215745024769,0.384,0.279,1,ZoneC,arhgdib-arhgdia
5.651111065524396e-4,0.5676305744508534,0.59,0.491,1,ZoneC,LASC011347
6.003568661553643e-4,0.35369256980222097,0.384,0.289,1,ZoneC,scarb1-2
6.006393360929304e-4,0.4270098822868895,0.586,0.514,1,ZoneC,ran
6.37453730789427e-4,0.3641474498105074,0.593,0.511,1,ZoneC,prrc1
6.697738614633393e-4,0.3939770568392226,0.481,0.388,1,ZoneC,exc-4
6.707960306355301e-4,0.4344555404192066,0.28,0.189,1,ZoneC,cg5065-2
7.07782069787203e-4,0.2813588767207514,0.34,0.243,1,ZoneC,cers1
7.402247904675717e-4,0.3467923194611806,0.582,0.483,1,ZoneC,eif3m
7.41408039534296e-4,0.3543602060031723,0.59,0.511,1,ZoneC,mlc-c
7.41844748594424e-4,0.45155226157763906,0.243,0.155,1,ZoneC,sp9
7.429747973700248e-4,0.7939399661709206,0.601,0.511,1,ZoneC,LASC016317
